Raw file	Experiment	Fraction	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Fixed modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
161_33_1zu3_90min_3ul	161_33_1zu3_90min_3ul	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		11886	52293	0	76905	27671	0	49234	12860	10686	0	2174	17	39	0	4.4	1985	356163	27774	7.8	4839	17	26503	13371	12877	50	60	3672	27	+	0.66488	0.95129	0.43493	0.65055	
161_34_1zu3_90min_3ul	161_34_1zu3_90min_3ul	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		10353	56659	0	82902	30412	0	52490	14880	12287	0	2593	18	40	0	4.9	2186	297183	30276	10	5354	18	26323	14542	13981	55	63	4114	28	+	0.6554	0.94549	0.44282	0.68748	
161_35_1zu3_90min_3ul	161_35_1zu3_90min_3ul	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		10201	55165	0	83167	27149	0	56018	13174	10914	0	2260	16	40	0	4	1827	292850	28243	9.6	5111	18	23256	12471	11976	54	63	3735	30	+	0.63267	0.90288	0.41246	0.62034	
161_36_1zu3_wdh	161_36_1zu3_wdh	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		15079	45198	0	61399	28991	0	32408	4189	3777	0	412	6.8	13	0	1.3	2051	693011	35547	5.1	2255	6.3	66364	24944	24478	38	50	3059	12	+	0.64678	0.90652	0.43524	0.65957	
161_37_1zu3_wdh	161_37_1zu3_wdh	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		14141	49884	0	66966	32794	0	34172	2787	2584	0	203	4.2	7.9	0	0.59	1394	575299	38894	6.8	3477	8.9	54133	26485	25920	49	59	4709	18	+	0.57456	0.8481	0.38604	0.61492	
161_38_1zu3_wdh	161_38_1zu3_wdh	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13707	49487	0	65370	33604	0	31766	2821	2646	0	175	4.3	7.9	0	0.55	1274	598790	39290	6.6	3658	9.3	54494	26729	26185	49	59	5070	19	+	0.57484	0.82317	0.38966	0.6031	
161_39_1zu3_90min_3ul	161_39_1zu3_90min_3ul	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		9763	56665	0	86147	27177	0	58970	10678	9012	0	1666	12	33	0	2.8	1675	300422	31675	11	5379	17	25729	13659	13109	53	60	3813	28	+	0.66334	0.96316	0.42437	0.65053	
161_3_1zu3_90min_3ul	161_3_1zu3_90min_3ul	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		17022	42479	0	70979	13931	0	57048	1782	1422	0	360	2.5	10	0	0.63	106	403880	16491	4.1	3841	23	11050	3130	2596	28	51	1528	49	+	0.44764	0.63146	0.2938	0.47025	
161_40_pur_wdh	161_40_pur_wdh	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		14331	47819	0	68627	27011	0	41616	4557	4165	0	392	6.6	15	0	0.94	2530	671471	37130	5.5	2741	7.4	60479	23224	22782	38	53	3019	13	+	0.61115	0.85558	0.39869	0.59056	
161_41_1zu3_90min_3ul	161_41_1zu3_90min_3ul	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		9864	54469	0	83229	25701	0	57528	10837	9015	0	1822	13	35	0	3.2	2115	292097	29050	9.9	5133	18	26039	13035	12547	50	57	3239	25	+	0.66687	0.96591	0.41805	0.63568	
161_42_1zu3_wdh	161_42_1zu3_wdh	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		14783	45173	0	62133	28213	0	33920	4215	3960	0	255	6.8	14	0	0.75	2320	604843	34900	5.8	2505	7.2	53663	24197	23781	45	55	3123	13	+	0.63081	0.90268	0.4091	0.62246	
161_43_1zu3_wdh	161_43_1zu3_wdh	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		14501	47447	0	64451	30441	0	34010	4189	3929	0	260	6.5	13	0	0.76	2114	564096	37166	6.6	2831	7.6	54409	25513	24997	47	55	3749	15	+	0.63003	0.89114	0.41674	0.62099	
